source,experiment,Period,Net,PF,Trades,Win,Loss,AvgWin,AvgLoss,MaxLoss,MaxDD,RelDD,Mode
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v3_9_tighter_stop_ohlc/metrics.json,2026-05-31_trend_v3_9_tighter_stop_ohlc,Train,12.44,1.17,26,15 (57.69%),11 (42.31%),5.72,-6.55,-12.18,37.34 (25.68%),25.68% (37.34),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v3_9_tighter_stop_ohlc/metrics.json,2026-05-31_trend_v3_9_tighter_stop_ohlc,Test,36.11,3.11,4,3 (75.00%),1 (25.00%),17.75,-16.93,-16.93,17.03 (12.68%),12.68% (17.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v3_9_tighter_stop_ohlc/metrics.json,2026-05-31_trend_v3_9_tighter_stop_ohlc,Valid,73.51,3.44,8,6 (75.00%),2 (25.00%),17.28,-14.88,-18.12,18.22 (14.58%),14.58% (18.22),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v3_9_tighter_stop_ohlc/metrics.json,2026-05-31_trend_v3_9_tighter_stop_ohlc,Year,122.06,2.01,38,24 (63.16%),14 (36.84%),10.11,-8.48,-18.12,37.34 (25.68%),25.68% (37.34),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v3_9_tighter_stop_ohlc/metrics.json,2026-05-31_trend_v3_9_tighter_stop_ohlc,Long,134.15,1.48,103,59 (57.28%),44 (42.72%),7.04,-6.27,-18.12,41.84 (29.65%),29.65% (41.84),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v4_7_rr290_ohlc/metrics.json,2026-05-31_trend_v4_7_rr290_ohlc,Train,37.64,1.51,26,15 (57.69%),11 (42.31%),7.4,-6.55,-12.18,37.34 (21.89%),21.89% (37.34),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v4_7_rr290_ohlc/metrics.json,2026-05-31_trend_v4_7_rr290_ohlc,Test,59.93,4.5,4,3 (75.00%),1 (25.00%),25.69,-16.93,-16.93,17.03 (11.37%),11.37% (17.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v4_7_rr290_ohlc/metrics.json,2026-05-31_trend_v4_7_rr290_ohlc,Valid,87.03,3.89,8,6 (75.00%),2 (25.00%),19.53,-14.88,-18.12,18.22 (12.89%),12.89% (18.22),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v4_7_rr290_ohlc/metrics.json,2026-05-31_trend_v4_7_rr290_ohlc,Year,184.6,2.53,38,24 (63.16%),14 (36.84%),12.72,-8.48,-18.12,37.34 (21.89%),21.89% (37.34),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v4_7_rr290_ohlc/metrics.json,2026-05-31_trend_v4_7_rr290_ohlc,Long,208.77,1.74,102,57 (55.88%),45 (44.12%),8.62,-6.17,-18.12,38.03 (27.03%),27.03% (38.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_1_auto_strict_range_ohlc/metrics.json,2026-05-31_trend_v5_1_auto_strict_range_ohlc,Train,39.1,1.53,27,16 (59.26%),11 (40.74%),7.03,-6.55,-12.18,37.34 (21.70%),21.70% (37.34),0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_1_auto_strict_range_ohlc/metrics.json,2026-05-31_trend_v5_1_auto_strict_range_ohlc,Test,59.93,4.5,4,3 (75.00%),1 (25.00%),25.69,-16.93,-16.93,17.03 (11.37%),11.37% (17.03),0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_1_auto_strict_range_ohlc/metrics.json,2026-05-31_trend_v5_1_auto_strict_range_ohlc,Valid,87.03,3.89,8,6 (75.00%),2 (25.00%),19.53,-14.88,-18.12,18.22 (12.89%),12.89% (18.22),0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_1_auto_strict_range_ohlc/metrics.json,2026-05-31_trend_v5_1_auto_strict_range_ohlc,Year,186.06,2.54,39,25 (64.10%),14 (35.90%),12.27,-8.48,-18.12,37.34 (21.70%),21.70% (37.34),0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_1_auto_strict_range_ohlc/metrics.json,2026-05-31_trend_v5_1_auto_strict_range_ohlc,Long,209.81,1.74,105,59 (56.19%),46 (43.81%),8.39,-6.09,-18.12,38.03 (26.66%),26.66% (38.03),0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_5_range_structure_ohlc/metrics.json,2026-05-31_trend_v5_5_range_structure_ohlc,Train,39.1,1.53,27,16 (59.26%),11 (40.74%),7.03,-6.55,-12.18,37.34 (21.70%),21.70% (37.34),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_5_range_structure_ohlc/metrics.json,2026-05-31_trend_v5_5_range_structure_ohlc,Test,59.93,4.5,4,3 (75.00%),1 (25.00%),25.69,-16.93,-16.93,17.03 (11.37%),11.37% (17.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_5_range_structure_ohlc/metrics.json,2026-05-31_trend_v5_5_range_structure_ohlc,Valid,87.03,3.89,8,6 (75.00%),2 (25.00%),19.53,-14.88,-18.12,18.22 (12.89%),12.89% (18.22),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_5_range_structure_ohlc/metrics.json,2026-05-31_trend_v5_5_range_structure_ohlc,Year,186.06,2.54,39,25 (64.10%),14 (35.90%),12.27,-8.48,-18.12,37.34 (21.70%),21.70% (37.34),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_5_range_structure_ohlc/metrics.json,2026-05-31_trend_v5_5_range_structure_ohlc,Long,210.23,1.74,103,58 (56.31%),45 (43.69%),8.5,-6.17,-18.12,38.03 (27.03%),27.03% (38.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_8_strict_long_ohlc/metrics.json,2026-05-31_trend_v5_8_strict_long_ohlc,Train,46.05,1.97,21,14 (66.67%),7 (33.33%),6.68,-6.63,-12.18,23.85 (14.41%),16.34% (18.91),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_8_strict_long_ohlc/metrics.json,2026-05-31_trend_v5_8_strict_long_ohlc,Test,59.93,4.5,4,3 (75.00%),1 (25.00%),25.69,-16.93,-16.93,17.03 (11.37%),11.37% (17.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_8_strict_long_ohlc/metrics.json,2026-05-31_trend_v5_8_strict_long_ohlc,Valid,87.03,3.89,8,6 (75.00%),2 (25.00%),19.53,-14.88,-18.12,18.22 (12.89%),12.89% (18.22),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_8_strict_long_ohlc/metrics.json,2026-05-31_trend_v5_8_strict_long_ohlc,Year,193.01,3.04,33,23 (69.70%),10 (30.30%),12.51,-9.31,-18.12,23.85 (14.41%),16.34% (18.91),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v5_8_strict_long_ohlc/metrics.json,2026-05-31_trend_v5_8_strict_long_ohlc,Long,218.3,1.89,90,52 (57.78%),38 (42.22%),8.94,-6.37,-18.12,35.18 (24.65%),24.65% (35.18),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v6_3_trail110_ohlc/metrics.json,2026-05-31_trend_v6_3_trail110_ohlc,Train,45.47,1.96,21,14 (66.67%),7 (33.33%),6.64,-6.63,-12.18,23.85 (14.46%),16.34% (18.91),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v6_3_trail110_ohlc/metrics.json,2026-05-31_trend_v6_3_trail110_ohlc,Test,63.35,4.7,4,3 (75.00%),1 (25.00%),26.83,-16.93,-16.93,17.03 (11.37%),11.37% (17.03),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v6_3_trail110_ohlc/metrics.json,2026-05-31_trend_v6_3_trail110_ohlc,Valid,87.03,3.89,8,6 (75.00%),2 (25.00%),19.53,-14.88,-18.12,18.22 (12.89%),12.89% (18.22),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v6_3_trail110_ohlc/metrics.json,2026-05-31_trend_v6_3_trail110_ohlc,Year,195.85,3.07,33,23 (69.70%),10 (30.30%),12.64,-9.31,-18.12,23.85 (14.46%),16.34% (18.91),
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest_reports/2026-05-31_trend_v6_3_trail110_ohlc/metrics.json,2026-05-31_trend_v6_3_trail110_ohlc,Long,221.14,1.9,90,52 (57.78%),38 (42.22%),8.99,-6.37,-18.12,35.18 (24.65%),24.65% (35.18),
