split,open_time,close_time,side,regime,reason,entry,sl,tp,exit,exit_reason,pnl,pnl_points,r_multiple,bars_held
train,2024-11-21 20:45:00,2024-11-21 21:00:00,sell,range,range_sell_research,2671.25,2673.411995871853,2669.088004128147,2673.411995871853,sl,-0.021619958718529234,-2.1619958718529233,-1.0,1
train,2024-11-26 09:45:00,2024-11-26 11:00:00,sell,trend_down,trend_sell_research,2612.51,2618.37582594987,2595.4991047453777,2618.37582594987,sl,-0.05865825949869759,-5.865825949869759,-1.0,5
train,2024-12-03 15:15:00,2024-12-03 15:15:00,buy,range,range_buy_research,2643.27,2641.658896609161,2644.881103390839,2644.881103390839,tp,0.01611103390839162,1.6111033908391619,1.0,0
train,2024-12-03 16:15:00,2024-12-03 16:15:00,sell,range,range_sell_research,2652.5,2654.409219919975,2650.590780080025,2650.590780080025,tp,0.0190921991997493,1.9092199199749302,1.0,0
train,2024-12-04 16:45:00,2024-12-04 16:45:00,sell,range,range_sell_research,2651.07,2653.4289786122204,2648.71102138778,2648.71102138778,tp,0.023589786122201986,2.3589786122201986,1.0,0
train,2024-12-05 04:15:00,2024-12-05 04:15:00,buy,range,range_buy_research,2647.33,2646.100167933474,2648.559832066526,2646.100167933474,sl,-0.01229832066525887,-1.229832066525887,-1.0,0
train,2024-12-05 05:15:00,2024-12-05 05:45:00,buy,range,range_buy_research,2647.95,2646.5864848981664,2649.313515101833,2649.313515101833,tp,0.013635151018333999,1.3635151018334,1.0,2
train,2024-12-05 10:45:00,2024-12-05 10:45:00,buy,range,range_buy_research,2646.23,2644.7486616140945,2647.7113383859055,2644.7486616140945,sl,-0.014813383859054738,-1.4813383859054738,-1.0,0
train,2024-12-05 11:45:00,2024-12-05 12:00:00,buy,range,range_buy_research,2645.73,2644.1229924344066,2647.3370075655935,2647.3370075655935,tp,0.016070075655934487,1.6070075655934488,1.0,1
train,2024-12-06 15:45:00,2024-12-06 15:45:00,buy,range,range_buy_research,2635.81,2633.6806274591086,2637.9393725408913,2633.6806274591086,sl,-0.021293725408913815,-2.1293725408913815,-1.0,0
train,2024-12-09 03:45:00,2024-12-09 04:30:00,sell,range,range_sell_research,2646.82,2649.482711580034,2644.1572884199663,2644.1572884199663,tp,0.02662711580033829,2.662711580033829,1.0,3
train,2024-12-23 08:00:00,2024-12-23 08:00:00,sell,range,range_sell_research,2626.73,2628.0342057557723,2625.4257942442277,2625.4257942442277,tp,0.013042057557722728,1.3042057557722728,1.0,0
train,2024-12-30 12:00:00,2024-12-30 13:30:00,sell,trend_down,trend_sell_research,2612.84,2616.688001633427,2601.680795263062,2616.688001633427,sl,-0.03848001633426975,-3.848001633426975,-1.0,6
train,2025-01-08 04:45:00,2025-01-08 04:45:00,buy,range,range_buy_research,2648.45,2647.340931688103,2649.5590683118967,2649.5590683118967,tp,0.011090683118968627,1.1090683118968627,1.0,0
train,2025-01-08 07:00:00,2025-01-08 07:15:00,buy,range,range_buy_research,2647.01,2645.9931311384935,2648.026868861507,2648.026868861507,tp,0.010168688615067367,1.0168688615067367,1.0,1
train,2025-01-14 12:00:00,2025-01-14 12:00:00,buy,range,range_buy_research,2667.34,2665.850438251197,2668.8295617488034,2668.8295617488034,tp,0.014895617488032259,1.4895617488032258,1.0,0
train,2025-01-14 13:00:00,2025-01-14 13:00:00,buy,range,range_buy_research,2666.76,2665.301504149116,2668.218495850884,2665.301504149116,sl,-0.014584958508839918,-1.4584958508839918,-1.0,0
train,2025-01-14 16:45:00,2025-01-14 16:45:00,buy,range,range_buy_research,2663.15,2661.045281651981,2665.254718348019,2661.045281651981,sl_same_bar,-0.02104718348019105,-2.104718348019105,-1.0,0
train,2025-01-16 18:15:00,2025-01-16 23:15:00,buy,trend_up,trend_buy_research,2718.63,2712.5417532166152,2728.9800195317544,2712.5417532166152,sl,-0.06088246783384875,-6.088246783384875,-1.0,20
train,2025-01-21 13:30:00,2025-01-21 13:30:00,buy,range,range_buy_research,2719.89,2718.1083968895587,2721.671603110441,2721.671603110441,tp,0.017816031104412103,1.7816031104412104,1.0,0
train,2025-01-28 10:45:00,2025-01-28 10:45:00,buy,range,range_buy_research,2738.63,2737.3283230461725,2739.9316769538277,2739.9316769538277,tp,0.013016769538276095,1.3016769538276094,1.0,0
train,2025-01-28 11:45:00,2025-01-28 12:00:00,sell,range,range_sell_research,2743.14,2744.607658748393,2741.6723412516067,2744.607658748393,sl,-0.014676587483932054,-1.4676587483932053,-1.0,1
train,2025-01-28 12:45:00,2025-01-28 12:45:00,sell,range,range_sell_research,2743.2,2744.566116397148,2741.8338836028515,2741.8338836028515,tp,0.013661163971482893,1.3661163971482893,1.0,0
train,2025-01-28 13:45:00,2025-01-28 13:45:00,sell,range,range_sell_research,2743.54,2744.8641805867073,2742.2158194132926,2742.2158194132926,tp,0.013241805867073709,1.3241805867073708,1.0,0
train,2025-01-31 09:45:00,2025-01-31 09:45:00,sell,range,range_sell_research,2797.82,2799.0894908806417,2796.5505091193586,2799.0894908806417,sl,-0.012694908806415698,-1.2694908806415697,-1.0,0
train,2025-01-31 10:45:00,2025-01-31 10:45:00,buy,range,range_buy_research,2794.16,2792.76792206263,2795.5520779373696,2792.76792206263,sl,-0.01392077937369777,-1.392077937369777,-1.0,0
train,2025-01-31 12:30:00,2025-01-31 12:30:00,buy,range,range_buy_research,2794.16,2792.8149189501814,2795.5050810498183,2792.8149189501814,sl,-0.013450810498184182,-1.3450810498184183,-1.0,0
train,2025-02-03 13:00:00,2025-02-03 14:30:00,buy,trend_up,trend_buy_research,2798.19,2792.7739264822244,2807.397324980219,2807.397324980219,tp,0.092073249802188,9.2073249802188,1.7000000000000335,6
train,2025-02-06 09:15:00,2025-02-06 09:15:00,buy,range,range_buy_research,2859.81,2858.105229562317,2861.5147704376827,2861.5147704376827,tp,0.017047704376827823,1.7047704376827824,1.0,0
train,2025-02-10 04:15:00,2025-02-10 08:00:00,buy,trend_up,trend_buy_research,2872.39,2866.9406595233118,2881.65387881037,2881.65387881037,tp,0.09263878810369988,9.263878810369988,1.7000000000000335,15
train,2025-02-13 18:15:00,2025-02-13 18:15:00,sell,range,range_sell_research,2919.95,2922.3304772713154,2917.569522728684,2917.569522728684,tp,0.023804772713156126,2.3804772713156126,1.0,0
train,2025-02-14 09:00:00,2025-02-14 09:00:00,sell,range,range_sell_research,2934.33,2935.802251364685,2932.8577486353147,2932.8577486353147,tp,0.014722513646852349,1.4722513646852349,1.0,0
train,2025-02-18 03:45:00,2025-02-18 03:45:00,buy,range,range_buy_research,2895.92,2894.627393166468,2897.212606833532,2894.627393166468,sl,-0.012926068335318633,-1.2926068335318632,-1.0,0
train,2025-02-18 05:00:00,2025-02-18 05:00:00,sell,range,range_sell_research,2903.08,2904.6018580921314,2901.5581419078685,2904.6018580921314,sl,-0.015218580921314243,-1.5218580921314242,-1.0,0
train,2025-02-18 14:15:00,2025-02-18 14:15:00,sell,range,range_sell_research,2912.99,2914.4433023471474,2911.536697652852,2914.4433023471474,sl,-0.014533023471476555,-1.4533023471476554,-1.0,0
train,2025-02-18 15:15:00,2025-02-18 15:15:00,sell,range,range_sell_research,2914.75,2916.3141486838003,2913.1858513161997,2916.3141486838003,sl,-0.015641486838003402,-1.5641486838003402,-1.0,0
train,2025-02-18 16:00:00,2025-02-18 16:00:00,sell,range,range_sell_research,2918.78,2920.483493315711,2917.0765066842896,2920.483493315711,sl,-0.017034933157106025,-1.7034933157106025,-1.0,0
train,2025-02-21 03:30:00,2025-02-21 03:30:00,sell,range,range_sell_research,2945.56,2947.241634780093,2943.8783652199068,2943.8783652199068,tp,0.01681634780093191,1.6816347800931908,1.0,0
train,2025-02-21 04:15:00,2025-02-21 04:30:00,buy,range,range_buy_research,2938.38,2935.844350360108,2940.9156496398923,2940.9156496398923,tp,0.025356496398921992,2.535649639892199,1.0,1
train,2025-02-21 20:00:00,2025-02-21 20:30:00,sell,range,range_sell_research,2939.83,2942.0493804849193,2937.6106195150805,2942.0493804849193,sl,-0.022193804849193838,-2.219380484919384,-1.0,2
train,2025-02-24 14:15:00,2025-02-24 15:00:00,sell,range,range_sell_research,2946.38,2948.3585317266293,2944.401468273371,2948.3585317266293,sl,-0.019785317266291715,-1.9785317266291713,-1.0,3
train,2025-02-25 20:30:00,2025-02-25 21:45:00,sell,trend_down,trend_sell_research,2906.0,2913.6074390201725,2883.9384268414997,2913.6074390201725,sl,-0.07607439020172478,-7.607439020172478,-1.0,5
train,2025-02-28 01:30:00,2025-02-28 02:30:00,sell,trend_down,trend_sell_research,2875.43,2880.1245455711346,2861.815817843709,2880.1245455711346,sl,-0.04694545571134768,-4.694545571134768,-1.0,4
train,2025-03-03 13:30:00,2025-03-03 13:45:00,sell,range,range_sell_research,2873.33,2875.1997525921647,2871.460247407835,2875.1997525921647,sl,-0.018697525921647865,-1.8697525921647866,-1.0,1
train,2025-03-06 07:30:00,2025-03-06 07:30:00,buy,range,range_buy_research,2916.29,2914.9901328753954,2917.5898671246046,2917.5898671246046,tp,0.012998671246045888,1.2998671246045888,1.0,0
train,2025-03-10 08:45:00,2025-03-10 09:00:00,buy,range,range_buy_research,2909.5,2907.9320861704045,2911.0679138295955,2911.0679138295955,tp,0.015679138295954544,1.5679138295954544,1.0,1
train,2025-03-12 09:30:00,2025-03-12 09:30:00,sell,range,range_sell_research,2916.07,2917.53197621646,2914.6080237835404,2914.6080237835404,tp,0.014619762164597887,1.4619762164597887,1.0,0
train,2025-03-12 12:15:00,2025-03-12 12:30:00,sell,range,range_sell_research,2919.69,2921.4992262425344,2917.8807737574657,2917.8807737574657,tp,0.018092262425343505,1.8092262425343506,1.0,1
train,2025-03-13 14:15:00,2025-03-13 15:45:00,buy,trend_up,trend_buy_research,2945.8,2941.480905116439,2953.1424613020545,2941.480905116439,sl,-0.0431909488356132,-4.31909488356132,-1.0,6
train,2025-03-18 03:45:00,2025-03-18 03:45:00,sell,range,range_sell_research,3001.76,3002.8680618878366,3000.651938112164,3000.651938112164,tp,0.011080618878363566,1.1080618878363566,1.0,0
train,2025-03-19 05:00:00,2025-03-19 05:00:00,buy,range,range_buy_research,3029.46,3028.2935813193076,3030.6264186806925,3030.6264186806925,tp,0.01166418680692459,1.166418680692459,1.0,0
train,2025-03-19 21:30:00,2025-03-19 21:30:00,sell,range,range_sell_research,3037.67,3039.9103232692214,3035.4296767307787,3039.9103232692214,sl,-0.02240323269221335,-2.240323269221335,-1.0,0
train,2025-03-20 10:30:00,2025-03-20 10:30:00,buy,range,range_buy_research,3046.83,3044.972469676058,3048.6875303239417,3044.972469676058,sl,-0.018575303239417737,-1.8575303239417735,-1.0,0
train,2025-03-20 11:15:00,2025-03-20 11:15:00,buy,range,range_buy_research,3042.51,3040.65518526906,3044.3648147309405,3040.65518526906,sl,-0.018548147309402338,-1.8548147309402339,-1.0,0
train,2025-03-21 15:00:00,2025-03-21 15:00:00,sell,range,range_sell_research,3034.37,3036.1331642636906,3032.606835736309,3036.1331642636906,sl,-0.01763164263690669,-1.763164263690669,-1.0,0
train,2025-03-24 10:30:00,2025-03-24 10:30:00,sell,range,range_sell_research,3025.2,3026.8046524811034,3023.5953475188962,3023.5953475188962,tp,0.016046524811035853,1.6046524811035852,1.0,0
train,2025-03-26 05:45:00,2025-03-26 05:45:00,sell,range,range_sell_research,3023.54,3024.7803445501004,3022.2996554498995,3024.7803445501004,sl,-0.012403445501004171,-1.240344550100417,-1.0,0
train,2025-03-28 17:15:00,2025-03-28 17:15:00,sell,range,range_sell_research,3080.57,3083.4028702071632,3077.737129792837,3083.4028702071632,sl_same_bar,-0.028328702071630688,-2.8328702071630687,-1.0,0
train,2025-03-28 18:15:00,2025-03-28 18:15:00,buy,range,range_buy_research,3074.85,3071.602163460881,3078.097836539119,3078.097836539119,tp,0.032478365391189076,3.2478365391189072,1.0,0
train,2025-03-28 20:15:00,2025-03-28 20:30:00,sell,range,range_sell_research,3083.09,3085.8916765424437,3080.2883234575565,3080.2883234575565,tp,0.028016765424436017,2.8016765424436016,1.0,1
train,2025-04-01 17:30:00,2025-04-01 17:30:00,buy,range,range_buy_research,3126.93,3124.077117712501,3129.7828822874985,3129.7828822874985,tp,0.028528822874986873,2.852882287498687,1.0,0
train,2025-04-02 20:00:00,2025-04-02 20:00:00,sell,range,range_sell_research,3131.56,3134.3267402009014,3128.7932597990985,3128.7932597990985,tp,0.02766740200901495,2.766740200901495,1.0,0
train,2025-04-03 01:30:00,2025-04-03 01:30:00,sell,range,range_sell_research,3136.54,3142.035494337881,3131.044505662119,3142.035494337881,sl,-0.05495494337881155,-5.495494337881155,-1.0,0
train,2025-04-04 12:45:00,2025-04-04 13:00:00,sell,trend_down,trend_sell_research,3088.24,3097.222887952576,3062.1896249375286,3097.222887952576,sl,-0.08982887952576221,-8.98288795257622,-1.0,1
train,2025-04-07 14:45:00,2025-04-07 14:45:00,sell,range,range_sell_research,3039.39,3044.4846005393215,3034.2953994606783,3034.2953994606783,tp,0.050946005393216184,5.094600539321618,1.0,0
train,2025-04-08 16:30:00,2025-04-08 16:30:00,sell,range,range_sell_research,3013.77,3017.7598776532236,3009.7801223467764,3009.7801223467764,tp,0.0398987765322363,3.9898776532236297,1.0,0
train,2025-04-08 20:00:00,2025-04-08 20:00:00,buy,range,range_buy_research,2985.99,2981.8569754657647,2990.123024534235,2981.8569754657647,sl,-0.04133024534235119,-4.133024534235119,-1.0,0
train,2025-04-08 22:00:00,2025-04-09 04:30:00,sell,trend_down,trend_sell_research,2983.49,2994.5080972998708,2951.537517830374,2994.5080972998708,sl,-0.11018097299870988,-11.018097299870988,-1.0,22
train,2025-04-10 15:45:00,2025-04-10 15:45:00,sell,range,range_sell_research,3124.93,3129.0940069373196,3120.76599306268,3129.0940069373196,sl,-0.04164006937319755,-4.164006937319755,-1.0,0
train,2025-04-11 13:00:00,2025-04-11 13:45:00,buy,trend_up,trend_buy_research,3227.75,3213.816160503303,3251.437527144385,3213.816160503303,sl,-0.13933839496697148,-13.933839496697146,-1.0,3
train,2025-04-14 11:30:00,2025-04-14 11:45:00,buy,range,range_buy_research,3224.66,3221.14678722314,3228.1732127768596,3228.1732127768596,tp,0.035132127768597456,3.5132127768597456,1.0,1
train,2025-04-15 15:00:00,2025-04-15 15:00:00,buy,range,range_buy_research,3220.17,3217.9600376170306,3222.3799623829696,3222.3799623829696,tp,0.022099623829694794,2.2099623829694792,1.0,0
train,2025-04-15 15:45:00,2025-04-15 15:45:00,buy,range,range_buy_research,3220.49,3217.8509951328774,3223.129004867122,3223.129004867122,tp,0.026390048671223666,2.6390048671223667,1.0,0
train,2025-04-15 21:00:00,2025-04-15 22:00:00,sell,range,range_sell_research,3227.99,3230.468207516735,3225.5117924832643,3230.468207516735,sl,-0.024782075167354378,-2.478207516735438,-1.0,4
train,2025-04-21 11:30:00,2025-04-21 14:30:00,buy,trend_up,trend_buy_research,3389.34,3381.241388154403,3403.1076401375153,3403.1076401375153,tp,0.13767640137515172,13.767640137515173,1.7000000000000055,12
train,2025-04-23 08:30:00,2025-04-23 16:30:00,sell,trend_down,trend_sell_research,3338.94,3355.968908274229,3289.5561660047365,3289.5561660047365,tp,0.4938383399526356,49.38383399526356,2.9000000000000026,32
train,2025-04-28 16:45:00,2025-04-28 16:45:00,sell,range,range_sell_research,3291.74,3295.329039246324,3288.1509607536755,3288.1509607536755,tp,0.03589039246324319,3.589039246324319,1.0,0
train,2025-04-30 05:15:00,2025-04-30 05:30:00,buy,range,range_buy_research,3312.3,3308.91482339015,3315.6851766098503,3308.91482339015,sl,-0.033851766098500775,-3.3851766098500775,-1.0,1
train,2025-04-30 06:15:00,2025-04-30 06:30:00,buy,range,range_buy_research,3310.31,3307.06932223152,3313.55067776848,3307.06932223152,sl,-0.03240677768480055,-3.2406777684800545,-1.0,1
train,2025-05-07 21:30:00,2025-05-07 21:30:00,sell,range,range_sell_research,3387.51,3391.1414752329742,3383.878524767026,3383.878524767026,tp,0.03631475232974026,3.631475232974026,1.0,0
train,2025-05-07 22:30:00,2025-05-07 22:30:00,buy,range,range_buy_research,3373.19,3368.8083211518906,3377.5716788481095,3368.8083211518906,sl,-0.04381678848109459,-4.381678848109459,-1.0,0
train,2025-05-13 05:00:00,2025-05-13 05:00:00,buy,range,range_buy_research,3225.31,3221.7439414479727,3228.876058552027,3228.876058552027,tp,0.03566058552027244,3.5660585520272434,1.0,0
train,2025-05-13 16:30:00,2025-05-13 16:30:00,buy,range,range_buy_research,3244.56,3241.15258311562,3247.96741688438,3241.15258311562,sl,-0.03407416884379927,-3.407416884379927,-1.0,0
train,2025-05-15 05:15:00,2025-05-15 05:15:00,buy,range,range_buy_research,3174.67,3171.456213019066,3177.883786980934,3171.456213019066,sl,-0.03213786980933946,-3.2137869809339463,-1.0,0
train,2025-05-16 16:30:00,2025-05-16 17:00:00,sell,trend_down,trend_sell_research,3174.65,3187.7515522639537,3136.6554984345344,3187.7515522639537,sl,-0.13101552263953636,-13.101552263953636,-1.0,2
train,2025-05-23 17:30:00,2025-05-26 03:00:00,buy,trend_up,trend_buy_research,3351.38,3338.0390718489075,3374.0595778568577,3338.0390718489075,sl,-0.13340928151092613,-13.340928151092612,-1.0,34
train,2025-05-28 06:45:00,2025-05-28 07:15:00,buy,range,range_buy_research,3298.03,3295.034501686903,3301.0254983130976,3295.034501686903,sl,-0.029954983130974142,-2.995498313097414,-1.0,2
test,2025-06-05 05:30:00,2025-06-05 05:30:00,buy,range,range_buy_research,3371.97,3369.475581888306,3374.4644181116937,3369.475581888306,sl,-0.024944181116939034,-2.4944181116939035,-1.0,0
test,2025-06-06 07:00:00,2025-06-06 07:00:00,sell,range,range_sell_research,3369.71,3372.082497823257,3367.337502176743,3372.082497823257,sl,-0.02372497823257163,-2.372497823257163,-1.0,0
test,2025-06-09 18:45:00,2025-06-09 19:15:00,sell,range,range_sell_research,3330.26,3333.159432068521,3327.3605679314796,3333.159432068521,sl,-0.028994320685205823,-2.899432068520582,-1.0,2
test,2025-06-11 04:00:00,2025-06-11 04:15:00,sell,range,range_sell_research,3332.38,3334.9089096774655,3329.8510903225347,3334.9089096774655,sl,-0.025289096774654355,-2.5289096774654354,-1.0,1
test,2025-06-16 07:30:00,2025-06-16 07:45:00,buy,range,range_buy_research,3430.3,3427.49464281952,3433.1053571804805,3427.49464281952,sl,-0.02805357180480314,-2.805357180480314,-1.0,1
test,2025-06-20 04:30:00,2025-06-20 04:30:00,buy,range,range_buy_research,3361.76,3359.3737452017285,3364.146254798272,3359.3737452017285,sl,-0.023862547982716933,-2.3862547982716933,-1.0,0
test,2025-06-23 12:30:00,2025-06-23 12:30:00,sell,range,range_sell_research,3364.99,3367.4664432969544,3362.513556703045,3362.513556703045,tp,0.024764432969545853,2.476443296954585,1.0,0
test,2025-06-25 15:15:00,2025-06-25 15:15:00,buy,range,range_buy_research,3325.96,3323.8767928342727,3328.0432071657274,3328.0432071657274,tp,0.020832071657273445,2.0832071657273445,1.0,0
test,2025-06-25 16:00:00,2025-06-25 16:00:00,buy,range,range_buy_research,3320.68,3318.3850577102394,3322.9749422897603,3318.3850577102394,sl,-0.022949422897604564,-2.2949422897604563,-1.0,0
test,2025-06-26 06:00:00,2025-06-26 06:00:00,sell,range,range_sell_research,3339.54,3341.475833323774,3337.6041666762258,3341.475833323774,sl,-0.019358333237742047,-1.9358333237742045,-1.0,0
test,2025-07-02 05:30:00,2025-07-02 05:30:00,buy,range,range_buy_research,3330.95,3328.8148825852486,3333.085117414751,3333.085117414751,tp,0.02135117414751221,2.135117414751221,1.0,0
test,2025-07-02 20:15:00,2025-07-02 21:00:00,sell,range,range_sell_research,3348.37,3350.6254141036047,3346.114585896395,3350.6254141036047,sl,-0.02255414103604835,-2.255414103604835,-1.0,3
test,2025-07-08 11:30:00,2025-07-08 11:30:00,buy,range,range_buy_research,3328.61,3326.5481859903484,3330.671814009652,3326.5481859903484,sl,-0.020618140096516982,-2.061814009651698,-1.0,0
test,2025-07-08 12:15:00,2025-07-08 12:15:00,buy,range,range_buy_research,3324.39,3322.369503688336,3326.410496311664,3326.410496311664,tp,0.02020496311663919,2.020496311663919,1.0,0
test,2025-07-10 17:15:00,2025-07-10 17:15:00,buy,range,range_buy_research,3319.02,3316.192292391145,3321.8477076088548,3316.192292391145,sl,-0.028277076088547803,-2.82770760885478,-1.0,0
test,2025-07-16 07:15:00,2025-07-16 07:30:00,sell,range,range_sell_research,3333.9,3335.4663210830367,3332.3336789169634,3335.4663210830367,sl,-0.015663210830366554,-1.5663210830366552,-1.0,1
test,2025-07-16 16:00:00,2025-07-16 16:00:00,buy,range,range_buy_research,3334.63,3332.796961153046,3336.463038846954,3336.463038846954,tp,0.018330388469539684,1.8330388469539685,1.0,0
test,2025-07-18 06:45:00,2025-07-18 07:00:00,buy,range,range_buy_research,3336.11,3334.5547028019196,3337.6652971980807,3334.5547028019196,sl,-0.015552971980805524,-1.5552971980805523,-1.0,1
test,2025-07-18 08:00:00,2025-07-18 08:00:00,buy,range,range_buy_research,3337.08,3335.638475984584,3338.5215240154157,3338.5215240154157,tp,0.0144152401541578,1.44152401541578,1.0,0
test,2025-07-18 09:15:00,2025-07-18 09:15:00,buy,range,range_buy_research,3337.19,3335.5977013925453,3338.782298607455,3338.782298607455,tp,0.015922986074547226,1.5922986074547225,1.0,0
test,2025-07-21 11:30:00,2025-07-21 14:15:00,buy,trend_up,trend_buy_research,3365.6,3362.522309391281,3370.832074034822,3370.832074034822,tp,0.0523207403482229,5.23207403482229,1.7000000000000148,11
test,2025-07-23 12:45:00,2025-07-23 13:00:00,sell,range,range_sell_research,3431.24,3433.245742160321,3429.234257839679,3429.234257839679,tp,0.02005742160321006,2.005742160321006,1.0,1
test,2025-07-25 05:30:00,2025-07-25 05:30:00,buy,range,range_buy_research,3366.23,3364.6682990852373,3367.7917009147627,3364.6682990852373,sl,-0.015617009147626959,-1.561700914762696,-1.0,0
test,2025-07-25 06:30:00,2025-07-25 06:45:00,buy,range,range_buy_research,3361.33,3359.82879981449,3362.8312001855097,3359.82879981449,sl,-0.015012001855097878,-1.5012001855097878,-1.0,1
test,2025-07-28 07:15:00,2025-07-28 07:15:00,sell,range,range_sell_research,3342.28,3344.455393965668,3340.1046060343324,3340.1046060343324,tp,0.021753939656678087,2.1753939656678085,1.0,0
test,2025-07-29 09:15:00,2025-07-29 09:30:00,sell,range,range_sell_research,3319.88,3321.6491859506277,3318.1108140493725,3318.1108140493725,tp,0.01769185950627616,1.769185950627616,1.0,1
test,2025-07-29 17:15:00,2025-07-29 17:15:00,buy,range,range_buy_research,3317.67,3315.017045364973,3320.322954635027,3320.322954635027,tp,0.02652954635027072,2.652954635027072,1.0,0
test,2025-08-07 21:15:00,2025-08-07 21:30:00,sell,range,range_sell_research,3391.42,3393.920853727648,3388.919146272352,3388.919146272352,tp,0.025008537276480638,2.500853727648064,1.0,1
test,2025-08-08 17:45:00,2025-08-08 17:45:00,buy,range,range_buy_research,3386.9,3382.9957810436936,3390.8042189563066,3390.8042189563066,tp,0.039042189563065224,3.904218956306522,1.0,0
test,2025-08-12 09:45:00,2025-08-12 09:45:00,buy,range,range_buy_research,3348.86,3346.6622916911297,3351.0577083088706,3346.6622916911297,sl,-0.021977083088704604,-2.1977083088704603,-1.0,0
test,2025-08-12 18:00:00,2025-08-12 18:00:00,buy,range,range_buy_research,3337.46,3333.475785017829,3341.444214982171,3341.444214982171,tp,0.03984214982171125,3.9842149821711246,1.0,0
test,2025-08-12 18:45:00,2025-08-12 19:00:00,sell,range,range_sell_research,3353.36,3357.775627666119,3348.9443723338813,3348.9443723338813,tp,0.04415627666118781,4.41562766611878,1.0,1
test,2025-08-13 06:00:00,2025-08-13 06:00:00,sell,range,range_sell_research,3351.8,3353.794324976213,3349.8056750237874,3349.8056750237874,tp,0.019943249762127382,1.994324976212738,1.0,0
test,2025-08-13 09:45:00,2025-08-13 09:45:00,sell,range,range_sell_research,3354.85,3356.693977466209,3353.0060225337907,3356.693977466209,sl,-0.018439774662092533,-1.8439774662092532,-1.0,0
test,2025-08-15 06:30:00,2025-08-15 06:30:00,sell,range,range_sell_research,3340.82,3342.123033163427,3339.5169668365734,3342.123033163427,sl,-0.013030331634267896,-1.3030331634267895,-1.0,0
test,2025-08-15 14:15:00,2025-08-15 14:15:00,buy,range,range_buy_research,3339.75,3337.805492395897,3341.694507604103,3337.805492395897,sl,-0.0194450760410291,-1.9445076041029097,-1.0,0
test,2025-08-22 15:30:00,2025-08-22 15:30:00,buy,range,range_buy_research,3326.07,3324.569409001969,3327.5705909980315,3324.569409001969,sl,-0.015005909980313845,-1.5005909980313845,-1.0,0
test,2025-08-25 15:15:00,2025-08-25 15:15:00,sell,range,range_sell_research,3368.69,3369.952253692377,3367.4277463076232,3369.952253692377,sl,-0.012622536923768166,-1.2622536923768166,-1.0,0
test,2025-08-25 16:30:00,2025-08-25 16:30:00,buy,range,range_buy_research,3364.12,3362.78418387204,3365.4558161279597,3365.4558161279597,tp,0.01335816127959788,1.335816127959788,1.0,0
test,2025-08-25 17:30:00,2025-08-25 17:30:00,sell,range,range_sell_research,3371.02,3372.6640962211227,3369.3759037788773,3372.6640962211227,sl,-0.016440962211227088,-1.6440962211227088,-1.0,0
test,2025-08-25 18:30:00,2025-08-25 18:30:00,sell,range,range_sell_research,3374.15,3375.7181086440933,3372.581891355907,3372.581891355907,tp,0.015681086440931722,1.5681086440931722,1.0,0
test,2025-08-26 15:00:00,2025-08-26 15:15:00,sell,range,range_sell_research,3377.57,3379.6253568426373,3375.514643157363,3379.6253568426373,sl,-0.020553568426371384,-2.0553568426371385,-1.0,1
test,2025-08-29 13:45:00,2025-08-29 13:45:00,buy,range,range_buy_research,3407.11,3405.829637559437,3408.3903624405634,3405.829637559437,sl,-0.012803624405632945,-1.2803624405632945,-1.0,0
test,2025-09-03 14:30:00,2025-09-03 14:30:00,sell,range,range_sell_research,3545.85,3548.235345824198,3543.464654175802,3548.235345824198,sl,-0.023853458241978844,-2.385345824197884,-1.0,0
test,2025-09-08 04:45:00,2025-09-08 04:45:00,buy,range,range_buy_research,3587.5,3584.685989986348,3590.314010013652,3590.314010013652,tp,0.028140100136520234,2.814010013652023,1.0,0
test,2025-09-09 07:15:00,2025-09-09 09:00:00,buy,trend_up,trend_buy_research,3648.59,3642.0071423387844,3659.7808580240667,3642.0071423387844,sl,-0.06582857661215712,-6.582857661215712,-1.0,7
